Company ID ,Year ,Company name ,industry ,symbol ,No. of female on board ,female ratio,No. of independent directors ,board independence,check,equity + liabilities ,total assets ,total liability ,total equity ,Lev,FSIZE ,BSIZE ,ETR,,,,,,,,
7,2017,DILMAH CEYLON TEA COMPANY PLC,Food Beverage & Tobacco,CTEA.N0000,0,0,2,25,0,"11,603,016,000","11,603,016,000","1,277,223,000","10,325,793,000",0.123692485410079,23.1745309012646,8,0.06079767073092,,,,,,,,
7,2018,DILMAH CEYLON TEA COMPANY PLC,Food Beverage & Tobacco,CTEA.N0000,1,12.5,2,25,0,"12,782,495,000","12,782,495,000","1,267,068,000","11,515,427,000",0.110032220255489,23.2713424937586,8,0.0652942662288457,,,,,,,,
8,2015,E B CREASY & COMPANY PLC,Capital Goods,EBCR.N0000,0,0,5,41.6666666666667,0,"4,163,561,000","4,163,561,000","2,647,550,000","1,516,011,000",1.74639234148037,22.1496365546677,12,0.203969042671726,,,,,,,,
8,2016,E B CREASY & COMPANY PLC,Capital Goods,EBCR.N0000,0,0,5,41.6666666666667,0,"4,725,108,000","4,725,108,000",3025725000,"1,699,383,000",1.78048444641379,22.2761562547738,12,0.0231746201392971,,,,,,,,
8,2017,E B CREASY & COMPANY PLC,Capital Goods,EBCR.N0000,0,0,5,41.6666666666667,0,"5,276,112,000",5276112000,3453307000,"1,822,805,000",1.89450160604124,22.3864552997794,12,0.257876748722203,,,,,,,,
8,2018,E B CREASY & COMPANY PLC,Capital Goods,EBCR.N0000,0,0,5,41.6666666666667,0,"8,218,988,000","8,218,988,000",4661563000,"3,557,425,000",1.31037562281707,22.8297129240801,12,0.273485425316419,,,,,,,,
9,2015,HARISCHANDRA MILLS PLC,FOOD BEVERAGE & TOBACCO,HARI.N0000,2,28.5714285714286,3,42.8571428571429,0,"1,509,832,722","1,509,832,722","546,663,670","963,169,052",0.567567727456426,21.1352647015042,7,0.382880482172154,,,,,,,,
9,2016,HARISCHANDRA MILLS PLC,FOOD BEVERAGE & TOBACCO,HARI.N0000,2,28.5714285714286,3,42.8571428571429,0,"1,601,167,072","1,601,167,072","524,452,496","1,076,714,576",0.487085907156884,21.1939986202947,7,0.179006170211499,,,,,,,,
9,2017,HARISCHANDRA MILLS PLC,FOOD BEVERAGE & TOBACCO,HARI.N0000,2,28.5714285714286,3,42.8571428571429,0,"1,698,395,679","1,698,395,679","515,922,368","1,182,473,311",0.436307833082247,21.2529499241909,7,0.269535009788506,,,,,,,,
9,2018,HARISCHANDRA MILLS PLC,FOOD BEVERAGE & TOBACCO,HARI.N0000,2,28.5714285714286,3,42.8571428571429,0,"1,720,427,041","1,720,427,041","371,882,112","1,348,544,929",0.275765459498458,21.2658383766066,7,0.19317030166146,,,,,,,,
10,2015,HAYCARB PLC ,Materials,HAYC.N0000,1,6.25,3,18.75,0,"6,618,018,000","6,618,018,000","2,903,218,000","3,714,800,000",0.781527403897922,22.6130617662971,16,0.0630873988983992,,,,,,,,
10,2016,HAYCARB PLC ,Materials,HAYC.N0000,2,12.5,4,25,0,"7,429,744,000","7,429,744,000","3,017,494,000","4,412,250,000",0.683890078758003,22.72875724017,16,0.0505767935770938,,,,,,,,
10,2017,HAYCARB PLC ,Materials,HAYC.N000,2,14.2857142857143,4,28.5714285714286,0,"7,899,714,000","7,899,714,000","3,008,900,000","4,890,814,000",0.615214563465305,22.7900923932324,14,0.072557828141169,,,,,,,,
10,2018,HAYCARB PLC ,Materials,HAYC.N0000,2,14.2857142857143,4,28.5714285714286,0,"8,905,216,000","8,905,216,000","4,131,259,000","4,773,957,000",0.865374153977508,22.9099030094298,14,0.0272452973698278,,,,,,,,
11,2015,HEMAS HOLDINGS PLC,Capital Goods,HHL.N0000,0,0,5,45.4545454545455,0,"13,324,789,000","13,324,789,000",2512850000,"10,811,939,000",0.232414370817297,23.3128919719761,11,0.257157309984549,,,,,,,,
11,2016,HEMAS HOLDINGS PLC,Capital Goods,HHL.N0000,0,0,4,40,0,"18,802,870,000","18,802,870,000",2266863000,"16,536,007,000",0.137086480430251,23.6572753547055,10,0.00726241538034753,,,,,,,,
11,2017,HEMAS HOLDINGS PLC,Capital Goods,HHL.N0000,0,0,5,45.4545454545455,0,"20,030,937,000","20,030,937,000","1,667,433,000","18,363,504,000",0.0908014614204348,23.7205437653603,11,0.0393939298731774,,,,,,,,
11,2018,HEMAS HOLDINGS PLC,Capital Goods,HHL.N0000,1,8.33333333333333,6,50,0,"19,537,697,000","19,537,697,000",2245108000,"17,292,589,000",0.129830645948967,23.6956116158166,12,0.834430879578142,,,,,,,,
12,2015,HOTEL SIGIRYA PLC,consumer services ,(HSIG.N0000,1,16.6666666666667,3,50,0,"497,411,140","497,411,140","90,689,814","406,721,326",0.222977769304381,20.0249274855444,6,0.227487353702306,,,,,,,,
12,2016,HOTEL SIGIRYA PLC,consumer services ,(HSIG.N0000,1,20,2,40,0,"520,093,308","520,093,308",104997979,"415,095,329",0.252949073777701,20.0695187919041,5,0.0354212127177101,,,,,,,,
12,2017,HOTEL SIGIRYA PLC,consumer services ,(HSIG.N0000,1,20,2,40,0,"485,765,879","485,765,879",118821032,"366,944,847",0.323811692605674,20.0012373353427,5,0.422884474596787,,,,,,,,
12,2018,HOTEL SIGIRYA PLC,consumer services ,(HSIG.N0000,1,20,2,40,0,"524,117,006","524,117,006",125217691,"398,899,315",0.313908012100748,20.0772255112521,5,0.183930344438063,,,,,,,,
13,2015,"HUNTER & COMPANY PLC
",Retaling ,HUNT.N0000,1,16.6666666666667,2,33.3333333333333,0,"2,435,805,052","2,435,805,052","208,495,041","2,227,310,011",0.093608451437073,21.613543155677,6,0.349945310845081,,,,,,,,
13,2016,"HUNTER & COMPANY PLC
",Retaling ,HUNT.N0000,1,16.6666666666667,3,50,0,"2,485,834,595","2,485,834,595",242378730,"2,243,455,865",0.10803810932113,21.6338742932277,6,0.349945310845081,,,,,,,,
13,2017,"HUNTER & COMPANY PLC
",Retaling ,HUNT.N0000,1,14.2857142857143,4,57.1428571428571,0,"5,542,004,133","5,542,004,133",1496324407,"4,045,679,726",0.369857356078809,22.4356220291466,7,0.204716767020578,,,,,,,,
13,2018,"HUNTER & COMPANY PLC
",Retaling ,HUNT.N0000,1,14.2857142857143,4,57.1428571428571,0,"5,578,663,800","5,578,663,800",1503492003,"4,075,171,797",0.36893953872247,22.4422151222984,7,0.337198956232056,,,,,,,,
14,2015,JOHN KEELLS HOLDINGS PLC,Capital Goods,JKH.N0000,1,10,7,70,0,"103,865,054,000","103,865,054,000",2956600000,"100,908,454,000",0.0292998245716855,25.3663583358386,10,0.0352356490424368,,,,,,,,
14,2016,JOHN KEELLS HOLDINGS PLC,Capital Goods,JKH.N0000,1,10,5,50,0,"115,880,941,000","115,880,941,000",1597490000,"114,283,451,000",0.0139783143230423,25.475829130284,10,0.0633777621394854,,,,,,,,
